,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
8,val,transformer,Loss,0.9529800075875127,random_no_constants,4,50,30,70,20,40,40,1,80,2
9,val,dummy,MSE,0.1240466833114624,random_no_constants,4,50,30,70,20,40,40,1,80,2
10,val,dummy,Misrankings score,0.7441077441077442,random_no_constants,4,50,30,70,20,40,40,1,80,2
11,val,dummy,Loss,0.9529800075875127,random_no_constants,4,50,30,70,20,40,40,1,80,2
12,tune,transformer,MSE,0.09253397583961487,random_no_constants,4,50,30,70,20,40,40,1,80,2
13,tune,transformer,Misrankings score,0.8080808080808081,random_no_constants,4,50,30,70,20,40,40,1,80,2
14,tune,transformer,Loss,0.963225228507389,random_no_constants,4,50,30,70,20,40,40,1,80,2
15,tune,dummy,MSE,0.11404651403427124,random_no_constants,4,50,30,70,20,40,40,1,80,2
16,tune,dummy,Misrankings score,0.7895622895622896,random_no_constants,4,50,30,70,20,40,40,1,80,2
17,tune,dummy,Loss,0.963225228507389,random_no_constants,4,50,30,70,20,40,40,1,80,2
18,test,transformer,MSE,0.09253397583961487,random_no_constants,4,50,30,70,20,40,40,1,80,2
19,test,transformer,Misrankings score,0.8080808080808081,random_no_constants,4,50,30,70,20,40,40,1,80,2
20,test,transformer,Loss,0.963225228507389,random_no_constants,4,50,30,70,20,40,40,1,80,2
21,test,dummy,MSE,0.11404651403427124,random_no_constants,4,50,30,70,20,40,40,1,80,2
22,test,dummy,Misrankings score,0.7895622895622896,random_no_constants,4,50,30,70,20,40,40,1,80,2
23,test,dummy,Loss,0.963225228507389,random_no_constants,4,50,30,70,20,40,40,1,80,2
24,test,ELA,Loss,0.9651352586799097,random_no_constants,4,50,30,70,20,40,40,1,80,2
0,train,transformer,MSE,0.08823350816965103,random_no_constants,5,50,30,20,20,50,80,2,80,3
1,train,transformer,Misrankings score,0.7976513098464318,random_no_constants,5,50,30,20,20,50,80,2,80,3
2,train,transformer,Loss,0.9700374365592397,random_no_constants,5,50,30,20,20,50,80,2,80,3
3,train,dummy,MSE,0.1161823570728302,random_no_constants,5,50,30,20,20,50,80,2,80,3
4,train,dummy,Misrankings score,0.7634146341463415,random_no_constants,5,50,30,20,20,50,80,2,80,3
5,train,dummy,Loss,0.9700374365592397,random_no_constants,5,50,30,20,20,50,80,2,80,3
6,val,transformer,MSE,0.08932477235794067,random_no_constants,5,50,30,20,20,50,80,2,80,3
7,val,transformer,Misrankings score,0.7996632996632996,random_no_constants,5,50,30,20,20,50,80,2,80,3
8,val,transformer,Loss,0.9706192816322691,random_no_constants,5,50,30,20,20,50,80,2,80,3
9,val,dummy,MSE,0.11311250925064087,random_no_constants,5,50,30,20,20,50,80,2,80,3
10,val,dummy,Misrankings score,0.7735690235690236,random_no_constants,5,50,30,20,20,50,80,2,80,3
11,val,dummy,Loss,0.9706192816322691,random_no_constants,5,50,30,20,20,50,80,2,80,3
12,tune,transformer,MSE,0.10500763356685638,random_no_constants,5,50,30,20,20,50,80,2,80,3
13,tune,transformer,Misrankings score,0.7836700336700336,random_no_constants,5,50,30,20,20,50,80,2,80,3
14,tune,transformer,Loss,0.954008460411904,random_no_constants,5,50,30,20,20,50,80,2,80,3
15,tune,dummy,MSE,0.1232757568359375,random_no_constants,5,50,30,20,20,50,80,2,80,3
16,tune,dummy,Misrankings score,0.765993265993266,random_no_constants,5,50,30,20,20,50,80,2,80,3
17,tune,dummy,Loss,0.954008460411904,random_no_constants,5,50,30,20,20,50,80,2,80,3
18,test,transformer,MSE,0.10500763356685638,random_no_constants,5,50,30,20,20,50,80,2,80,3
19,test,transformer,Misrankings score,0.7836700336700336,random_no_constants,5,50,30,20,20,50,80,2,80,3
20,test,transformer,Loss,0.954008460411904,random_no_constants,5,50,30,20,20,50,80,2,80,3
21,test,dummy,MSE,0.1232757568359375,random_no_constants,5,50,30,20,20,50,80,2,80,3
22,test,dummy,Misrankings score,0.765993265993266,random_no_constants,5,50,30,20,20,50,80,2,80,3
23,test,dummy,Loss,0.954008460411904,random_no_constants,5,50,30,20,20,50,80,2,80,3
24,test,ELA,Loss,0.954950882863803,random_no_constants,5,50,30,20,20,50,80,2,80,3
0,train,transformer,MSE,0.10477834939956665,random_no_constants,6,50,30,60,10,30,40,1,60,3
1,train,transformer,Misrankings score,0.7657633242999097,random_no_constants,6,50,30,60,10,30,40,1,60,3
2,train,transformer,Loss,0.9702559825692996,random_no_constants,6,50,30,60,10,30,40,1,60,3
3,train,dummy,MSE,0.11536085605621338,random_no_constants,6,50,30,60,10,30,40,1,60,3
4,train,dummy,Misrankings score,0.7632339656729901,random_no_constants,6,50,30,60,10,30,40,1,60,3
5,train,dummy,Loss,0.9702559825692996,random_no_constants,6,50,30,60,10,30,40,1,60,3
6,val,transformer,MSE,0.11663036793470383,random_no_constants,6,50,30,60,10,30,40,1,60,3
7,val,transformer,Misrankings score,0.7643097643097643,random_no_constants,6,50,30,60,10,30,40,1,60,3
8,val,transformer,Loss,0.9547937847513988,random_no_constants,6,50,30,60,10,30,40,1,60,3
9,val,dummy,MSE,0.11797088384628296,random_no_constants,6,50,30,60,10,30,40,1,60,3
10,val,dummy,Misrankings score,0.7685185185185185,random_no_constants,6,50,30,60,10,30,40,1,60,3
11,val,dummy,Loss,0.9547937847513988,random_no_constants,6,50,30,60,10,30,40,1,60,3
12,tune,transformer,MSE,0.11357121169567108,random_no_constants,6,50,30,60,10,30,40,1,60,3
13,tune,transformer,Misrankings score,0.7668350168350169,random_no_constants,6,50,30,60,10,30,40,1,60,3
14,tune,transformer,Loss,0.9649513952503446,random_no_constants,6,50,30,60,10,30,40,1,60,3
15,tune,dummy,MSE,0.12009745091199875,random_no_constants,6,50,30,60,10,30,40,1,60,3
16,tune,dummy,Misrankings score,0.7643097643097643,random_no_constants,6,50,30,60,10,30,40,1,60,3
17,tune,dummy,Loss,0.9649513952503446,random_no_constants,6,50,30,60,10,30,40,1,60,3
18,test,transformer,MSE,0.11357121169567108,random_no_constants,6,50,30,60,10,30,40,1,60,3
19,test,transformer,Misrankings score,0.7668350168350169,random_no_constants,6,50,30,60,10,30,40,1,60,3
20,test,transformer,Loss,0.9649513952503446,random_no_constants,6,50,30,60,10,30,40,1,60,3
21,test,dummy,MSE,0.12009745091199875,random_no_constants,6,50,30,60,10,30,40,1,60,3
22,test,dummy,Misrankings score,0.7643097643097643,random_no_constants,6,50,30,60,10,30,40,1,60,3
23,test,dummy,Loss,0.9649513952503446,random_no_constants,6,50,30,60,10,30,40,1,60,3
24,test,ELA,Loss,0.9689705570740506,random_no_constants,6,50,30,60,10,30,40,1,60,3
0,train,transformer,MSE,0.10755524784326553,random_no_constants,7,50,30,50,30,30,100,1,80,2
1,train,transformer,Misrankings score,0.7676603432700994,random_no_constants,7,50,30,50,30,30,100,1,80,2
2,train,transformer,Loss,0.9692636610705319,random_no_constants,7,50,30,50,30,30,100,1,80,2
3,train,dummy,MSE,0.11698722094297409,random_no_constants,7,50,30,50,30,30,100,1,80,2
4,train,dummy,Misrankings score,0.7640469738030714,random_no_constants,7,50,30,50,30,30,100,1,80,2
5,train,dummy,Loss,0.9692636610705319,random_no_constants,7,50,30,50,30,30,100,1,80,2
6,val,transformer,MSE,0.10594051331281662,random_no_constants,7,50,30,50,30,30,100,1,80,2
7,val,transformer,Misrankings score,0.7643097643097643,random_no_constants,7,50,30,50,30,30,100,1,80,2
8,val,transformer,Loss,0.9702132775483995,random_no_constants,7,50,30,50,30,30,100,1,80,2
9,val,dummy,MSE,0.10898307710886002,random_no_constants,7,50,30,50,30,30,100,1,80,2
10,val,dummy,Misrankings score,0.7685185185185185,random_no_constants,7,50,30,50,30,30,100,1,80,2
11,val,dummy,Loss,0.9702132775483995,random_no_constants,7,50,30,50,30,30,100,1,80,2
12,tune,transformer,MSE,0.10783211886882782,random_no_constants,7,50,30,50,30,30,100,1,80,2
13,tune,transformer,Misrankings score,0.7533670033670034,random_no_constants,7,50,30,50,30,30,100,1,80,2
14,tune,transformer,Loss,0.9644114130005802,random_no_constants,7,50,30,50,30,30,100,1,80,2
15,tune,dummy,MSE,0.11810620129108429,random_no_constants,7,50,30,50,30,30,100,1,80,2
16,tune,dummy,Misrankings score,0.7516835016835017,random_no_constants,7,50,30,50,30,30,100,1,80,2
17,tune,dummy,Loss,0.9644114130005802,random_no_constants,7,50,30,50,30,30,100,1,80,2
18,test,transformer,MSE,0.10783211886882782,random_no_constants,7,50,30,50,30,30,100,1,80,2
19,test,transformer,Misrankings score,0.7533670033670034,random_no_constants,7,50,30,50,30,30,100,1,80,2
20,test,transformer,Loss,0.9644114130005802,random_no_constants,7,50,30,50,30,30,100,1,80,2
21,test,dummy,MSE,0.11810620129108429,random_no_constants,7,50,30,50,30,30,100,1,80,2
22,test,dummy,Misrankings score,0.7516835016835017,random_no_constants,7,50,30,50,30,30,100,1,80,2
23,test,dummy,Loss,0.9644114130005802,random_no_constants,7,50,30,50,30,30,100,1,80,2
24,test,ELA,Loss,0.9647080193990885,random_no_constants,7,50,30,50,30,30,100,1,80,2
0,train,transformer,MSE,0.14075642824172974,random_no_constants,8,50,30,90,30,40,80,1,40,1
1,train,transformer,Misrankings score,0.7264679313459801,random_no_constants,8,50,30,90,30,40,80,1,40,1
2,train,transformer,Loss,0.949979361553671,random_no_constants,8,50,30,90,30,40,80,1,40,1
3,train,dummy,MSE,0.11593002080917358,random_no_constants,8,50,30,90,30,40,80,1,40,1
4,train,dummy,Misrankings score,0.7651309846431797,random_no_constants,8,50,30,90,30,40,80,1,40,1
5,train,dummy,Loss,0.9698071972899552,random_no_constants,8,50,30,90,30,40,80,1,40,1
6,val,transformer,MSE,0.13924184441566467,random_no_constants,8,50,30,90,30,40,80,1,40,1
7,val,transformer,Misrankings score,0.734006734006734,random_no_constants,8,50,30,90,30,40,80,1,40,1
8,val,transformer,Loss,0.9439109164580264,random_no_constants,8,50,30,90,30,40,80,1,40,1
9,val,dummy,MSE,0.11609070003032684,random_no_constants,8,50,30,90,30,40,80,1,40,1
10,val,dummy,Misrankings score,0.7735690235690236,random_no_constants,8,50,30,90,30,40,80,1,40,1
11,val,dummy,Loss,0.9591241834366971,random_no_constants,8,50,30,90,30,40,80,1,40,1
12,tune,transformer,MSE,0.14823776483535767,random_no_constants,8,50,30,90,30,40,80,1,40,1
13,tune,transformer,Misrankings score,0.7297979797979798,random_no_constants,8,50,30,90,30,40,80,1,40,1
14,tune,transformer,Loss,0.9302759074105658,random_no_constants,8,50,30,90,30,40,80,1,40,1
