,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
1,train,transformer,Misrankings score,0.7023715415019763,random_no_constants,4,50,10,70,10,10,40,2,20,3
2,train,transformer,Loss,0.8979293060417249,random_no_constants,4,50,10,70,10,10,40,2,20,3
3,train,dummy,MSE,0.12200704216957092,random_no_constants,4,50,10,70,10,10,40,2,20,3
4,train,dummy,Misrankings score,0.5341650197628458,random_no_constants,4,50,10,70,10,10,40,2,20,3
5,train,dummy,Loss,0.8199238974079193,random_no_constants,4,50,10,70,10,10,40,2,20,3
6,val,transformer,MSE,0.06869709491729736,random_no_constants,4,50,10,70,10,10,40,2,20,3
7,val,transformer,Misrankings score,0.6730502999538532,random_no_constants,4,50,10,70,10,10,40,2,20,3
8,val,transformer,Loss,0.8816058613239169,random_no_constants,4,50,10,70,10,10,40,2,20,3
9,val,dummy,MSE,0.12087177485227585,random_no_constants,4,50,10,70,10,10,40,2,20,3
10,val,dummy,Misrankings score,0.5385325334563913,random_no_constants,4,50,10,70,10,10,40,2,20,3
11,val,dummy,Loss,0.806777447072008,random_no_constants,4,50,10,70,10,10,40,2,20,3
12,tune,transformer,MSE,0.06827571243047714,random_no_constants,4,50,10,70,10,10,40,2,20,3
13,tune,transformer,Misrankings score,0.6828129782675237,random_no_constants,4,50,10,70,10,10,40,2,20,3
14,tune,transformer,Loss,0.8869177944154512,random_no_constants,4,50,10,70,10,10,40,2,20,3
15,tune,dummy,MSE,0.12053782492876053,random_no_constants,4,50,10,70,10,10,40,2,20,3
16,tune,dummy,Misrankings score,0.5336700336700336,random_no_constants,4,50,10,70,10,10,40,2,20,3
17,tune,dummy,Loss,0.7779802819608873,random_no_constants,4,50,10,70,10,10,40,2,20,3
18,test,transformer,MSE,0.06827571243047714,random_no_constants,4,50,10,70,10,10,40,2,20,3
19,test,transformer,Misrankings score,0.6828129782675237,random_no_constants,4,50,10,70,10,10,40,2,20,3
20,test,transformer,Loss,0.8869177944154512,random_no_constants,4,50,10,70,10,10,40,2,20,3
21,test,dummy,MSE,0.12053782492876053,random_no_constants,4,50,10,70,10,10,40,2,20,3
22,test,dummy,Misrankings score,0.5336700336700336,random_no_constants,4,50,10,70,10,10,40,2,20,3
23,test,dummy,Loss,0.7779802819608873,random_no_constants,4,50,10,70,10,10,40,2,20,3
24,test,ELA,Loss,0.9078057080689089,random_no_constants,4,50,10,70,10,10,40,2,20,3
